Alter;Geschlecht;Vertragsenddatum;Bereich;Standort;Vertragsart;Austrittsdatum;Betriebszugehoerigkeit;FTE;FK;Abteilungsgroeﬂe;Zeit_auf_Position;Mitarbeiterstatus;Aktiv;2023_Ziele;2023_Pers_Beurteilung;2024_Ziele;2024_Pers_Beurteilung;Krankenstand_2023;Krankenstand_2024;Gehaltsentwicklung
‹ber 60;M;;Gesch‰ftsbereich;F;Fixed term contract;;36-38;999.0;0;83.03107177708166;18-20;Terminated;1;‹berdurchschnitt;Unterdurchschnitt;#NV;#NV;1 % - 3 %;1,0 - 3 %;
25-30;F;;HQ;C;Permanent;;"""9-11""";0.0;1;37.01352365466472;"""3-5""";Active;0;Unterdurchschnitt;#NV;Durchschnitt;#NV;10,1 - 15 %;;
‹ber 60;M;;Werk;B;Permanent;31.03.2024;18-20;999.0;1;191.3350016922198;"""3-5""";Active;1;Unterdurchschnitt;Unrated;#NV;‹berdurchschnitt;1 % - 3 %;;
51-60;F;;Werk;D;Permanent;30.09.2024;24-26;999.0;0;191.8336977437456;0-2;Active;1;#NV;#NV;#NV;#NV;1 % - 3 %;15,1 - 20%;15%-19%
31-40;F;;Gesch‰ftsbereich;A;Permanent;;"""9-11""";0.5;0;8.294331402541413;"""9-11""";Dormant;0;#NV;‹berdurchschnitt;#NV;‹berdurchschnitt;;;5%-9%
‹ber 60;M;;Werk;B;Fixed term contract;14.10.2024;30-32;0.5;1;44.0458148922754;0-2;Terminated;0;Durchschnitt;Unterdurchschnitt;‹berdurchschnitt;#NV;3,1 - 5%;;
41-50;M;;Werk;C;Fixed term contract;;27-29;0.5;0;80.00207129717703;"""3-5""";Active;1;#NV;‹berdurchschnitt;#NV;#NV;1 % - 3 %;;5%-9%
51-60;M;31.01.2024;Gesch‰ftsbereich;B;Permanent;;"""12-14""";999.0;1;25.357405256321822;"""12-14""";Active;0;#NV;‹berdurchschnitt;#NV;Durchschnitt;;3,1 - 5%;10%-14%
31-40;M;;Werk;A;Fixed term contract;;"""6-8""";0.0;0;8.389490727889882;"""6-8""";Active;1;#NV;#NV;Durchschnitt;Durchschnitt;;15,1 - 20%;20%-24%
51-60;M;30.09.2022;Werk;D;Permanent;;24-26;0.0;0;12.12333667662698;"""12-14""";Active;0;#NV;#NV;#NV;#NV;15,1 - 20 %;;5%-9%
51-60;M;;Werk;E;Permanent;;36-38;0.5;1;68.00148657221808;"""12-14""";Active;1;#NV;#NV;#NV;#NV;;kleiner 1%;10%-14%
31-40;M;;Werk;B;Permanent;12.07.2024;"""3-5""";0.5;1;15.351067822309405;"""3-5""";Dormant;0;#NV;#NV;#NV;Unrated;3,1 - 5%;1,0 - 3 %;10%-14%
‹ber 60;F;;Gesch‰ftsbereich;A;Fixed term contract;;39-41;1.0;0;43.91523629183486;"""3-5""";Active;0;Unrated;#NV;#NV;Durchschnitt;;;
51-60;M;30.09.2025;Werk;E;Fixed term contract;12.10.2022;27-29;0.5;0;3.3480284659375337;"""3-5""";Terminated;1;#NV;#NV;Durchschnitt;#NV;;1,0 - 3 %;5%-9%
25-30;F;;Gesch‰ftsbereich;C;Permanent;14.10.2024;"""3-5""";0.5;1;52.18795812014365;"""3-5""";Terminated;1;#NV;Durchschnitt;‹berdurchschnitt;#NV;20,01 - 40%;;20%-24%
51-60;F;30.09.2024;Gesch‰ftsbereich;B;Permanent;;30-32;0.5;1;64.0511769392853;0-2;Active;1;#NV;#NV;‹berdurchschnitt;#NV;;;5%-9%
31-40;M;;Werk;F;Permanent;;"""3-5""";999.0;0;10.40855810627799;"""3-5""";Dormant;0;#NV;#NV;#NV;‹berdurchschnitt;5,1 - 10%;1,0 - 3 %;
‹ber 60;M;;Gesch‰ftsbereich;F;Fixed term contract;;21-23;999.0;1;42.70630822361697;"""3-5""";Active;1;#NV;Durchschnitt;#NV;Unrated;;kleiner 1%;
‹ber 60;F;31.07.2022;Werk;E;Permanent;;42-44;0.0;1;39.5573373124725;18-20;Dormant;0;#NV;#NV;‹berdurchschnitt;#NV;kleiner 1 %;1,0 - 3 %;
31-40;M;28.02.2023;Gesch‰ftsbereich;E;Permanent;;"""9-11""";0.5;1;22.42101777918889;"""6-8""";Terminated;1;#NV;Durchschnitt;#NV;Durchschnitt;;;15%-19%
51-60;F;31.01.2025;HQ;D;Permanent;;27-29;999.0;0;77.51780681054436;"""3-5""";Terminated;1;#NV;#NV;#NV;#NV;;;5%-9%
51-60;M;;Werk;D;Permanent;;18-20;0.5;0;20.63818097376592;"""3-5""";Active;1;#NV;Durchschnitt;‹berdurchschnitt;Durchschnitt;3,1 - 5%;3,1 - 5%;5%-9%
31-40;F;;HQ;G;Permanent;;"""6-8""";0.0;1;119.52544664780642;"""3-5""";Active;0;#NV;Durchschnitt;Unrated;#NV;5,1 - 10%;;10%-14%
41-50;F;;Werk;D;Fixed term contract;;27-29;0.0;0;13.172733116713502;"""3-5""";Active;1;#NV;Durchschnitt;#NV;Durchschnitt;5,1 - 10%;;5%-9%
18-24;M;;Werk;A;Permanent;15.07.2024;0-2;0.5;1;261.0482804378384;0-2;Active;0;#NV;‹berdurchschnitt;#NV;Durchschnitt;kleiner 1 %;;
41-50;M;;Gesch‰ftsbereich;E;Permanent;;24-26;0.0;0;191.61142123403533;"""3-5""";Active;1;‹berdurchschnitt;#NV;#NV;Durchschnitt;;20,1 - 40%;5%-9%
51-60;M;;Werk;F;Permanent;20.12.2024;"""6-8""";0.5;1;14.291010800145127;"""6-8""";Active;0;#NV;Durchschnitt;#NV;Unterdurchschnitt;;1,0 - 3 %;5%-9%
31-40;M;;Gesch‰ftsbereich;C;Permanent;;"""6-8""";999.0;1;11.421871745426108;0-2;Terminated;1;Durchschnitt;#NV;‹berdurchschnitt;‹berdurchschnitt;;;15%-19%
51-60;M;;Gesch‰ftsbereich;D;Permanent;;39-41;0.0;0;58.852636092336006;18-20;Active;1;Durchschnitt;#NV;#NV;Unrated;20,01 - 40%;;5%-9%
Unter 18;M;;Werk;D;Permanent;;0-2;0.5;1;261.62680642413545;0-2;Terminated;0;#NV;#NV;Unrated;‹berdurchschnitt;;;
31-40;M;;Werk;E;Fixed term contract;;"""6-8""";1.0;0;5.852043195666227;0-2;Active;0;‹berdurchschnitt;‹berdurchschnitt;#NV;#NV;;;"""-30%-26%"""
51-60;F;;Werk;A;Permanent;;39-41;0.0;1;50.367458515072876;15-17;Terminated;1;Durchschnitt;#NV;#NV;Durchschnitt;;1,0 - 3 %;
41-50;M;;Gesch‰ftsbereich;C;Fixed term contract;;"""12-14""";0.0;0;14.370986594408679;"""12-14""";Active;0;‹berdurchschnitt;Durchschnitt;Durchschnitt;Durchschnitt;1 % - 3 %;;5%-9%
51-60;M;;Gesch‰ftsbereich;G;Permanent;;"""9-11""";999.0;0;139.86403784021132;"""6-8""";Active;1;#NV;#NV;#NV;#NV;;;15%-19%
51-60;M;31.08.2024;Gesch‰ftsbereich;B;Permanent;31.05.2023;30-32;0.0;1;68.95322686820298;"""3-5""";Dormant;1;‹berdurchschnitt;#NV;‹berdurchschnitt;‹berdurchschnitt;;1,0 - 3 %;5%-9%
41-50;M;;Gesch‰ftsbereich;E;Permanent;;0-2;999.0;0;9.91907845464537;0-2;Terminated;0;Unrated;#NV;#NV;#NV;5,1 - 10%;1,0 - 3 %;
51-60;F;;HQ;A;Permanent;;"""6-8""";999.0;1;41.849090169253124;"""3-5""";Active;0;#NV;Durchschnitt;#NV;Durchschnitt;;;
31-40;M;;Gesch‰ftsbereich;D;Permanent;;"""9-11""";1.0;1;29.45792986931572;0-2;Active;1;#NV;‹berdurchschnitt;‹berdurchschnitt;Unrated;1 % - 3 %;;10%-14%
41-50;M;;Gesch‰ftsbereich;C;Fixed term contract;28.02.2025;"""3-5""";0.0;0;156.00017195026186;0-2;Terminated;0;#NV;Durchschnitt;Durchschnitt;#NV;;10,1 - 15%;
51-60;M;;Werk;F;Permanent;;30-32;1.0;0;82.68935321166607;"""3-5""";Active;0;#NV;#NV;#NV;‹berdurchschnitt;1 % - 3 %;1,0 - 3 %;5%-9%
31-40;M;;Gesch‰ftsbereich;E;Permanent;;"""12-14""";0.5;0;176.77355605366952;0-2;Active;0;Durchschnitt;#NV;#NV;#NV;1 % - 3 %;kleiner 1%;5%-9%
‹ber 60;M;;Werk;E;Permanent;;39-41;0.5;1;29.531645330953342;15-17;Active;1;‹berdurchschnitt;‹berdurchschnitt;Durchschnitt;#NV;1 % - 3 %;;
51-60;M;30.06.2025;Werk;A;Permanent;;33-35;0.5;0;6.763658372013014;18-20;Active;1;‹berdurchschnitt;Durchschnitt;#NV;‹berdurchschnitt;;5,1 - 10%;0%-4%
31-40;M;;Werk;E;Fixed term contract;;"""12-14""";1.0;0;3.853637277039843;0-2;Active;0;#NV;#NV;#NV;Durchschnitt;;1,0 - 3 %;
51-60;F;29.02.2024;Gesch‰ftsbereich;G;Permanent;;24-26;1.0;1;9.983458681202737;18-20;Terminated;1;#NV;‹berdurchschnitt;‹berdurchschnitt;#NV;5,1 - 10%;5,1 - 10%;5%-9%
‹ber 60;M;;HQ;D;Fixed term contract;;39-41;0.0;1;109.33888567915933;"""3-5""";Active;1;#NV;‹berdurchschnitt;‹berdurchschnitt;#NV;kleiner 1 %;kleiner 1%;
51-60;M;;Werk;C;Permanent;;33-35;0.0;0;57.467340077163485;0-2;Active;1;‹berdurchschnitt;#NV;Durchschnitt;Durchschnitt;1 % - 3 %;;5%-9%
31-40;M;;Werk;A;Permanent;;"""12-14""";0.0;1;67.71788591462848;0-2;Terminated;0;‹berdurchschnitt;Durchschnitt;#NV;#NV;kleiner 1 %;;15%-19%
51-60;M;30.11.2025;Werk;A;Permanent;31.10.2022;27-29;1.0;1;8.43148040718576;0-2;Active;0;#NV;Unrated;#NV;#NV;;;10%-14%
41-50;M;;Werk;D;Permanent;31.12.2022;18-20;0.5;1;13.78063433239068;18-20;Active;0;‹berdurchschnitt;Durchschnitt;#NV;#NV;10,1 - 15 %;;5%-9%
‹ber 60;M;;Werk;G;Permanent;;18-20;1.0;0;158.79079226460786;0-2;Terminated;1;#NV;#NV;#NV;#NV;10,1 - 15 %;1,0 - 3 %;
41-50;M;;Gesch‰ftsbereich;G;Permanent;;21-23;999.0;1;103.09771227435954;"""3-5""";Active;1;#NV;#NV;‹berdurchschnitt;Durchschnitt;;;5%-9%
51-60;F;;Werk;E;Fixed term contract;;18-20;999.0;1;95.6952668592539;"""9-11""";Active;0;#NV;#NV;#NV;#NV;;10,1 - 15%;10%-14%
41-50;M;;Werk;D;Permanent;;21-23;1.0;0;27.412215118070534;0-2;Active;0;#NV;‹berdurchschnitt;#NV;#NV;20,01 - 40%;kleiner 1%;
‹ber 60;M;;Gesch‰ftsbereich;D;Permanent;;33-35;1.0;0;155.67781049433006;"""3-5""";Terminated;0;‹berdurchschnitt;#NV;#NV;#NV;;3,1 - 5%;
25-30;F;;HQ;B;Permanent;;"""12-14""";999.0;0;147.4417456377893;"""9-11""";Terminated;1;#NV;#NV;Durchschnitt;‹berdurchschnitt;;kleiner 1%;20%-24%
31-40;M;;Gesch‰ftsbereich;B;Permanent;;0-2;0.0;0;9.93294379627806;0-2;Active;1;‹berdurchschnitt;Durchschnitt;‹berdurchschnitt;Durchschnitt;20,01 - 40%;;
25-30;F;31.03.2024;Werk;B;Permanent;;"""3-5""";999.0;0;56.31603358448079;"""3-5""";Active;0;#NV;Durchschnitt;#NV;‹berdurchschnitt;3,1 - 5%;;5%-9%
31-40;M;;Werk;F;Fixed term contract;;"""6-8""";0.0;0;67.90308573531463;"""6-8""";Active;1;‹berdurchschnitt;Durchschnitt;#NV;#NV;1 % - 3 %;1,0 - 3 %;5%-9%
51-60;M;;Werk;E;Permanent;;27-29;0.5;1;52.675899399374444;"""3-5""";Active;1;#NV;#NV;#NV;Durchschnitt;10,1 - 15 %;;5%-9%
31-40;M;;HQ;G;Permanent;;"""6-8""";1.0;0;99.962452123461;0-2;Active;1;#NV;Durchschnitt;#NV;#NV;;;10%-14%
41-50;M;;HQ;E;Permanent;;"""6-8""";1.0;1;10.31788030834539;0-2;Active;1;#NV;#NV;‹berdurchschnitt;#NV;;;25%-29%
51-60;M;;Werk;C;Permanent;;"""12-14""";0.0;0;11.265259280024253;"""9-11""";Active;1;Durchschnitt;‹berdurchschnitt;Durchschnitt;‹berdurchschnitt;1 % - 3 %;1,0 - 3 %;5%-9%
25-30;M;;Werk;G;Permanent;30.04.2025;"""9-11""";0.5;1;72.48076586733076;0-2;Terminated;1;#NV;Durchschnitt;#NV;#NV;5,1 - 10%;;30%-34%
31-40;M;;Werk;D;Fixed term contract;30.06.2023;0-2;999.0;1;198.52077397537857;0-2;Active;0;Unrated;#NV;#NV;#NV;;kleiner 1%;
25-30;F;31.08.2022;Gesch‰ftsbereich;A;Permanent;;"""3-5""";999.0;0;55.13426686393243;"""3-5""";Active;0;#NV;#NV;#NV;‹berdurchschnitt;;1,0 - 3 %;
51-60;M;;HQ;D;Permanent;;0-2;0.0;1;199.18580519813477;0-2;Active;0;#NV;#NV;#NV;#NV;1 % - 3 %;20,1 - 40%;
31-40;M;;Gesch‰ftsbereich;B;Permanent;14.03.2025;15-17;0.5;0;18.868254486368045;"""6-8""";Active;0;#NV;#NV;#NV;#NV;1 % - 3 %;1,0 - 3 %;10%-14%
25-30;M;;Gesch‰ftsbereich;F;Permanent;;"""6-8""";0.5;0;16.941018002169987;0-2;Active;0;#NV;#NV;#NV;#NV;;1,0 - 3 %;25%-29%
25-30;M;;Werk;C;Fixed term contract;;0-2;0.0;1;64.76166875913492;0-2;Terminated;0;#NV;#NV;#NV;#NV;;1,0 - 3 %;
31-40;M;;Werk;G;Permanent;;"""3-5""";1.0;0;9.298896711447389;"""3-5""";Active;0;#NV;#NV;#NV;#NV;1 % - 3 %;;15%-19%
31-40;M;;Werk;F;Permanent;;"""3-5""";1.0;1;9.242369872945067;0-2;Active;1;#NV;#NV;#NV;Durchschnitt;;1,0 - 3 %;25%-29%
18-24;M;;Werk;D;Permanent;;0-2;0.5;0;262.3346838728449;0-2;Active;1;#NV;Durchschnitt;#NV;‹berdurchschnitt;kleiner 1 %;5,1 - 10%;
51-60;M;;Werk;A;Permanent;;33-35;1.0;0;203.00792111619444;"""3-5""";Active;1;#NV;#NV;‹berdurchschnitt;Unrated;;;
41-50;F;;Werk;G;Permanent;;"""9-11""";999.0;0;19.715313527313697;"""3-5""";Active;1;Durchschnitt;‹berdurchschnitt;#NV;Durchschnitt;1 % - 3 %;1,0 - 3 %;15%-19%
51-60;M;;Werk;B;Permanent;;24-26;0.0;1;21.991453209990883;"""9-11""";Active;0;Durchschnitt;‹berdurchschnitt;#NV;#NV;;kleiner 1%;5%-9%
51-60;M;14.05.2025;Werk;A;Fixed term contract;;"""3-5""";999.0;1;12.646320879549545;"""3-5""";Active;0;#NV;#NV;#NV;#NV;1 % - 3 %;3,1 - 5%;5%-9%
18-24;M;;Gesch‰ftsbereich;E;Permanent;;"""3-5""";999.0;1;83.68782322974488;0-2;Active;1;Durchschnitt;‹berdurchschnitt;‹berdurchschnitt;‹berdurchschnitt;;5,1 - 10%;70%-74%
41-50;M;;Gesch‰ftsbereich;B;Fixed term contract;;21-23;1.0;0;33.78497430019273;0-2;Terminated;1;#NV;#NV;‹berdurchschnitt;Durchschnitt;1 % - 3 %;;10%-14%
18-24;M;;Werk;G;Permanent;31.12.2024;"""3-5""";999.0;1;25.877569054686077;"""3-5""";Active;0;#NV;Durchschnitt;‹berdurchschnitt;‹berdurchschnitt;3,1 - 5%;;
31-40;F;;Werk;C;Fixed term contract;28.02.2025;"""6-8""";1.0;0;19.673211096635782;"""6-8""";Active;0;Durchschnitt;#NV;#NV;#NV;20,01 - 40%;;
41-50;M;;Werk;A;Permanent;01.06.2022;0-2;0.5;0;8.997544642263152;0-2;Active;0;‹berdurchschnitt;#NV;#NV;‹berdurchschnitt;kleiner 1 %;3,1 - 5%;
25-30;M;;HQ;D;Permanent;31.12.2022;"""3-5""";0.5;1;6.612337148899092;0-2;Active;0;#NV;Durchschnitt;‹berdurchschnitt;Durchschnitt;5,1 - 10%;;
41-50;M;;HQ;C;Permanent;30.06.2022;"""12-14""";0.5;0;21.056639981262094;"""9-11""";Active;0;#NV;‹berdurchschnitt;Durchschnitt;#NV;1 % - 3 %;5,1 - 10%;15%-19%
41-50;M;;Werk;D;Permanent;;21-23;1.0;0;139.41137409296937;"""12-14""";Active;0;‹berdurchschnitt;#NV;#NV;#NV;3,1 - 5%;1,0 - 3 %;5%-9%
31-40;M;31.07.2025;Werk;F;Permanent;;15-17;0.5;1;103.46641577969935;"""6-8""";Active;1;‹berdurchschnitt;#NV;#NV;#NV;;;15%-19%
25-30;M;;Werk;C;Permanent;;"""6-8""";999.0;1;30.86251221096159;"""6-8""";Active;0;#NV;Durchschnitt;Durchschnitt;#NV;;1,0 - 3 %;
‹ber 60;M;31.07.2024;HQ;B;Permanent;;33-35;0.0;1;115.58212383166871;"""3-5""";Terminated;0;Durchschnitt;Durchschnitt;#NV;‹berdurchschnitt;;3,1 - 5%;
41-50;M;;Werk;C;Fixed term contract;;24-26;0.5;1;119.14873386294303;"""3-5""";Terminated;0;‹berdurchschnitt;#NV;#NV;#NV;;;
18-24;M;31.08.2023;Werk;A;Permanent;;0-2;0.0;1;64.97625886726819;0-2;Active;1;‹berdurchschnitt;#NV;#NV;#NV;5,1 - 10%;;
31-40;M;;HQ;C;Permanent;;"""12-14""";999.0;1;164.57729172744033;0-2;Terminated;1;#NV;#NV;#NV;‹berdurchschnitt;;5,1 - 10%;20%-24%
25-30;M;30.11.2023;HQ;A;Permanent;29.08.2022;"""6-8""";999.0;1;151.00167959512092;0-2;Active;1;Durchschnitt;Durchschnitt;#NV;Durchschnitt;1 % - 3 %;3,1 - 5%;15%-19%
‹ber 60;M;;HQ;G;Permanent;;33-35;999.0;1;74.73786856501538;0-2;Dormant;1;#NV;‹berdurchschnitt;Unrated;#NV;1 % - 3 %;;
31-40;M;;HQ;C;Permanent;;"""6-8""";0.5;0;11.030967908742333;"""3-5""";Terminated;1;#NV;Durchschnitt;#NV;#NV;;;15%-19%
25-30;M;;HQ;F;Permanent;;"""3-5""";999.0;1;3.4863446201045742;"""3-5""";Terminated;0;#NV;‹berdurchschnitt;#NV;Durchschnitt;;;
51-60;M;;Werk;D;Permanent;;24-26;0.5;0;52.30572350587516;0-2;Terminated;1;#NV;Durchschnitt;‹berdurchschnitt;#NV;;1,0 - 3 %;5%-9%
25-30;M;;Werk;E;Permanent;14.10.2024;0-2;1.0;0;62.88411820972931;0-2;Terminated;0;Durchschnitt;#NV;#NV;Durchschnitt;3,1 - 5%;5,1 - 10%;
18-24;M;31.03.2025;Werk;A;Permanent;31.12.2024;"""3-5""";999.0;1;260.92942600855093;0-2;Active;0;Unterdurchschnitt;‹berdurchschnitt;Unrated;#NV;5,1 - 10%;1,0 - 3 %;
41-50;M;;Werk;C;Permanent;31.10.2024;21-23;0.5;0;196.50869891446632;0-2;Dormant;0;‹berdurchschnitt;‹berdurchschnitt;#NV;#NV;;3,1 - 5%;5%-9%
51-60;M;;Werk;B;Fixed term contract;;33-35;1.0;0;40.28646658654324;0-2;Terminated;1;#NV;‹berdurchschnitt;‹berdurchschnitt;#NV;;;
31-40;M;;Werk;G;Permanent;;0-2;1.0;0;53.44856597955654;0-2;Terminated;0;#NV;‹berdurchschnitt;#NV;#NV;3,1 - 5%;5,1 - 10%;
41-50;M;;Gesch‰ftsbereich;F;Permanent;;"""6-8""";0.0;0;14.029513681824673;"""6-8""";Active;0;#NV;Durchschnitt;#NV;#NV;5,1 - 10%;;5%-9%
51-60;M;31.05.2025;Gesch‰ftsbereich;D;Fixed term contract;07.07.2022;36-38;0.0;0;5.725058626579989;18-20;Active;1;#NV;Durchschnitt;#NV;#NV;5,1 - 10%;;
18-24;M;;Gesch‰ftsbereich;E;Fixed term contract;31.12.2024;0-2;999.0;1;-0.4815493524710721;0-2;Terminated;0;#NV;#NV;#NV;#NV;;;
25-30;F;30.04.2024;HQ;C;Permanent;;0-2;1.0;0;23.407586320755428;0-2;Active;0;‹berdurchschnitt;‹berdurchschnitt;#NV;#NV;5,1 - 10%;10,1 - 15%;
41-50;M;15.03.2023;HQ;C;Permanent;;18-20;0.5;0;159.22314310839488;"""9-11""";Active;0;#NV;#NV;#NV;Durchschnitt;;10,1 - 15%;20%-24%
41-50;M;;Gesch‰ftsbereich;G;Permanent;;15-17;999.0;1;49.85582978152173;"""6-8""";Active;1;#NV;Durchschnitt;#NV;#NV;kleiner 1 %;;10%-14%
‹ber 60;M;;Gesch‰ftsbereich;B;Fixed term contract;21.07.2024;39-41;0.5;1;181.1973508296924;0-2;Active;1;Unrated;#NV;#NV;‹berdurchschnitt;;1,0 - 3 %;
31-40;M;;HQ;D;Permanent;;"""6-8""";999.0;1;16.40464193932355;0-2;Active;0;#NV;#NV;‹berdurchschnitt;‹berdurchschnitt;3,1 - 5%;5,1 - 10%;20%-24%
31-40;F;;Werk;B;Permanent;;"""3-5""";0.5;0;27.588370803826045;"""3-5""";Active;0;Durchschnitt;#NV;‹berdurchschnitt;Durchschnitt;1 % - 3 %;1,0 - 3 %;
41-50;M;;Gesch‰ftsbereich;D;Permanent;;"""3-5""";0.0;0;6.55475922937644;"""3-5""";Active;0;‹berdurchschnitt;‹berdurchschnitt;#NV;#NV;3,1 - 5%;1,0 - 3 %;
41-50;M;;HQ;E;Permanent;;"""9-11""";1.0;1;11.147360196378392;"""9-11""";Active;0;#NV;#NV;#NV;‹berdurchschnitt;;;5%-9%
31-40;M;;Gesch‰ftsbereich;B;Permanent;;"""12-14""";0.5;0;49.070604946198486;0-2;Active;0;Unrated;‹berdurchschnitt;#NV;#NV;;;10%-14%
18-24;F;;Gesch‰ftsbereich;D;Fixed term contract;;0-2;0.5;1;6.49185495612726;"""3-5""";Dormant;0;#NV;#NV;#NV;‹berdurchschnitt;;3,1 - 5%;
31-40;M;;Werk;D;Permanent;31.12.2024;"""12-14""";0.5;0;84.04123840688514;0-2;Terminated;1;#NV;Unrated;Unrated;#NV;;;15%-19%
41-50;M;;HQ;A;Permanent;31.05.2024;18-20;0.5;1;154.19072431740665;"""3-5""";Active;0;Durchschnitt;‹berdurchschnitt;#NV;#NV;20,01 - 40%;;
25-30;F;;Werk;D;Fixed term contract;;"""3-5""";1.0;1;103.80252144754829;"""3-5""";Active;0;#NV;‹berdurchschnitt;#NV;#NV;10,1 - 15 %;1,0 - 3 %;10%-14%
41-50;M;;Gesch‰ftsbereich;D;Permanent;;"""6-8""";0.5;1;8.888161106204809;"""6-8""";Terminated;1;#NV;‹berdurchschnitt;#NV;#NV;3,1 - 5%;;5%-9%
51-60;M;;Gesch‰ftsbereich;D;Permanent;;21-23;1.0;0;164.9722520873181;0-2;Active;1;Durchschnitt;#NV;#NV;Durchschnitt;3,1 - 5%;1,0 - 3 %;"""-10%-6%"""
51-60;M;;Werk;C;Permanent;;36-38;1.0;1;10.889044318111612;18-20;Active;1;Durchschnitt;#NV;#NV;#NV;;5,1 - 10%;10%-14%
18-24;F;;HQ;B;Permanent;;"""3-5""";0.0;1;83.72034587237371;"""3-5""";Active;0;#NV;#NV;#NV;#NV;1 % - 3 %;;15%-19%
41-50;M;;HQ;C;Permanent;;"""12-14""";999.0;0;26.842032239844222;0-2;Active;1;Durchschnitt;#NV;#NV;‹berdurchschnitt;;;
31-40;M;;Gesch‰ftsbereich;F;Permanent;28.02.2023;0-2;0.5;1;122.3364411038348;0-2;Active;0;#NV;Unrated;#NV;Durchschnitt;1 % - 3 %;10,1 - 15%;
41-50;F;30.04.2024;Gesch‰ftsbereich;D;Fixed term contract;;"""12-14""";999.0;0;54.486806864538096;"""9-11""";Active;0;‹berdurchschnitt;Durchschnitt;Durchschnitt;Unterdurchschnitt;15,1 - 20 %;;5%-9%
51-60;M;;Werk;G;Permanent;31.10.2024;36-38;999.0;0;195.80741968638304;"""3-5""";Terminated;1;#NV;#NV;#NV;#NV;;;5%-9%
31-40;F;30.04.2025;Gesch‰ftsbereich;D;Permanent;;0-2;1.0;0;180.64893501422782;0-2;Active;0;‹berdurchschnitt;‹berdurchschnitt;‹berdurchschnitt;Durchschnitt;kleiner 1 %;;
41-50;M;;Gesch‰ftsbereich;F;Permanent;;27-29;0.5;1;159.69143889562457;"""3-5""";Active;1;Durchschnitt;#NV;‹berdurchschnitt;Durchschnitt;;5,1 - 10%;5%-9%
41-50;M;31.01.2024;HQ;F;Permanent;;"""12-14""";0.5;1;4.90953690965144;"""12-14""";Active;0;‹berdurchschnitt;#NV;#NV;#NV;;;
31-40;M;31.03.2025;Werk;D;Permanent;;"""6-8""";0.0;1;14.056508569299348;"""6-8""";Active;0;‹berdurchschnitt;‹berdurchschnitt;#NV;#NV;;;"""-10%-6%"""
25-30;M;;Gesch‰ftsbereich;D;Permanent;;0-2;999.0;0;24.773994311698885;0-2;Active;0;#NV;Durchschnitt;#NV;Durchschnitt;;1,0 - 3 %;
31-40;F;;Werk;F;Permanent;;"""3-5""";0.5;1;17.454469610303295;0-2;Terminated;1;#NV;#NV;Durchschnitt;#NV;5,1 - 10%;3,1 - 5%;25%-29%
31-40;F;;HQ;B;Permanent;;"""6-8""";0.5;1;87.3350503177755;0-2;Terminated;1;#NV;#NV;Durchschnitt;#NV;1 % - 3 %;;15%-19%
41-50;M;;Gesch‰ftsbereich;F;Permanent;;0-2;0.5;1;28.526395183756026;0-2;Active;0;#NV;‹berdurchschnitt;Unrated;Durchschnitt;;;
41-50;M;27.09.2024;HQ;B;Permanent;08.02.2023;"""6-8""";1.0;1;33.21906990549449;0-2;Active;0;#NV;#NV;#NV;#NV;;;20%-24%
51-60;M;;Werk;E;Permanent;;33-35;999.0;1;184.38648407041842;15-17;Terminated;1;#NV;#NV;#NV;Unrated;;;5%-9%
31-40;M;;HQ;B;Permanent;31.12.2023;"""6-8""";0.0;0;22.804463806237607;"""6-8""";Active;0;Unrated;‹berdurchschnitt;#NV;#NV;;;10%-14%
‹ber 60;F;;HQ;C;Fixed term contract;;33-35;1.0;1;159.1975484270577;0-2;Active;1;Durchschnitt;#NV;Durchschnitt;‹berdurchschnitt;1 % - 3 %;;
18-24;M;;HQ;A;Permanent;30.09.2023;0-2;0.0;0;13.252866393108663;0-2;Terminated;0;#NV;Durchschnitt;#NV;#NV;;;
41-50;M;;Werk;D;Permanent;;24-26;999.0;0;119.66229047919258;0-2;Active;0;Durchschnitt;Unrated;Durchschnitt;#NV;;;60%-64%
31-40;M;;Werk;A;Permanent;;18-20;0.5;1;36.86858751239068;15-17;Active;1;‹berdurchschnitt;Unrated;‹berdurchschnitt;#NV;5,1 - 10%;kleiner 1%;20%-24%
31-40;M;30.09.2022;HQ;D;Permanent;31.08.2024;15-17;1.0;1;29.95844233235101;"""6-8""";Active;0;Unterdurchschnitt;#NV;Durchschnitt;Durchschnitt;3,1 - 5%;;10%-14%
31-40;M;29.02.2024;HQ;G;Fixed term contract;;18-20;0.0;1;62.10969606616996;"""6-8""";Terminated;0;#NV;‹berdurchschnitt;Durchschnitt;#NV;;;20%-24%
51-60;F;;Gesch‰ftsbereich;C;Permanent;;27-29;1.0;0;200.74533545630095;0-2;Terminated;1;#NV;Unrated;‹berdurchschnitt;Durchschnitt;;kleiner 1%;5%-9%
25-30;M;02.09.2023;Werk;A;Permanent;;"""9-11""";999.0;1;21.08640180330672;"""3-5""";Active;0;Durchschnitt;#NV;#NV;Durchschnitt;;;15%-19%
‹ber 60;F;;Werk;F;Permanent;29.02.2024;27-29;999.0;0;40.38467220244522;0-2;Active;1;#NV;#NV;Unrated;#NV;kleiner 1 %;3,1 - 5%;
